geometry,EMERGENCIA,AREA_HA,SHAPE_Length,SHAPE_Area_left,RULEID,index_right,DeCodigo,DeNombre,DeArea,DeNorma,SHAPE_Leng,SHAPE_Area_right
POINT (-73.40313383022391 -0.4952834399087358),Inundación,84.6579107934,0.05122486703,6.876975e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-73.60680479263534 -0.4893226703233263),Inundación,68.2748234411,0.03583832496,5.546527e-05,1,26.0,91,['Amazonas'],107982.504784,Constitución Política de Colombia 1991,2795294.77743,107982504784.0
POINT (-73.40465562223605 -0.4795281981220486),Inundación,66.6323152243,0.04160385827,5.412702e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.40286671495248 -0.567119887522617),Inundación,"1,009.47993021",0.79596435475,0.00082012302,1,,91,['Amazonas'],107982.504784,Constitución Política de Colombia 1991,2795294.77743,107982504784.0
POINT (-73.66166150955847 -0.4515840721653304),Inundación,50.2507001458,0.03432921004,4.082319e-05,1,26.0,91,['Amazonas'],107982.504784,Constitución Política de Colombia 1991,2795294.77743,107982504784.0
POINT (-74.53429923709906 -0.3968141939425408),Inundación,33.0240231813,0.02427705286,2.682792e-05,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-73.66139212725635 -0.3750455852058638),Inundación,245.304759511,0.16038886582,0.00019928135,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-73.68383265966186 -0.3581921004245062),Inundación,203.412357817,0.18281011752,0.0001652493,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-73.99744484824616 -0.302446912936927),Inundación,407.058198551,0.15278206961,0.00033070154,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.07557073623734 -0.2486747844334964),Inundación,44.9947090241,0.03139373681,3.655444e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-75.0522047599372 -0.158911554082496),Inundación,"8,213.25739455",6.11039034065,0.00667041753,1,,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-74.15228515469492 -0.2251594403801842),Inundación,99.9918994947,0.04824258866,8.123478e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.8238071746758 -0.1767582221340113),Inundación,36.4527087362,0.0239780482,2.960959e-05,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-74.22973820072843 -0.1547527330238561),Inundación,639.942076385,0.28348631263,0.0005198928,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.30468983198467 -0.1243034789233481),Inundación,27.6653112844,0.02915243103,2.247524e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.9097327585004 -0.1118263957075217),Inundación,160.48081192,0.09711518296,0.0001303486,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-74.27657834145398 -0.118133319380681),Inundación,220.040748609,0.16813867817,0.00017876126,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.62560178827208 -0.095850234021413),Inundación,49.0276473309,0.03131890761,3.982688e-05,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-74.60592202084139 -0.0969764041581962),Inundación,184.098540264,0.07437725897,0.0001495507,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-74.5687359246004 -0.0904359614242104),Inundación,64.0627473209,0.04487668607,5.204136e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.31497980276419 -0.0798554261131744),Inundación,27.197931358,0.02777650155,2.209548e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.27081028196895 -0.0773820324467636),Inundación,81.9467702108,0.07408526526,6.657358e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.62464725323953 -0.0780199843655214),Inundación,128.030989046,0.05857283226,0.00010400406,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-74.65581841656423 -0.0639912596955319),Inundación,64.6696994753,0.03452832185,5.253288e-05,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-75.31141673104075 -0.0613161856369309),Inundación,26.7339975117,0.01761671849,2.170881e-05,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-75.27869634114846 -0.0599462551845243),Inundación,61.8810271762,0.04067578793,5.025048e-05,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-74.59130995153342 -0.0657558393704292),Inundación,126.283034077,0.06845837505,0.00010258522,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.57739859447328 -0.0609767967812871),Inundación,167.166850293,0.08065627439,0.00013579751,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.56054264103969 -0.0492915941140427),Inundación,26.1425171963,0.01951415749,2.12369e-05,1,2.0,18,['Caquetá'],92709.0748512,Constitución Política de Colombia 1991,2352171.8554,92709074851.2
POINT (-74.62271532252278 -0.0509389840082161),Inundación,122.842581336,0.05767416624,9.978935e-05,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
POINT (-75.15196026837484 -0.0453529936569118),Inundación,52.7568559314,0.0381015405,4.284498e-05,1,25.0,86,['Putumayo'],25700.4383409,Constitución Política de Colombia 1991,1411061.31273,25700438340.9
